album_name,album_type,album_year,song_url,song_num
"Greetings From Asbury Park, N.J.",studio,1973,/song:blinded-by-the-light,1
"Greetings From Asbury Park, N.J.",studio,1973,/song:growin-up,2
"Greetings From Asbury Park, N.J.",studio,1973,/song:mary-queen-of-arkansas,3
"Greetings From Asbury Park, N.J.",studio,1973,/song:does-this-bus-stop-at-82nd-street,4
"Greetings From Asbury Park, N.J.",studio,1973,/song:lost-in-the-flood,5
"Greetings From Asbury Park, N.J.",studio,1973,/song:the-angel,6
"Greetings From Asbury Park, N.J.",studio,1973,/song:for-you,7
"Greetings From Asbury Park, N.J.",studio,1973,/song:spirit-in-the-night,8
"Greetings From Asbury Park, N.J.",studio,1973,/song:it-s-hard-to-be-a-saint-in-the-city,9
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:the-e-street-shuffle,1
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:4th-of-july-asbury-park-sandy,2
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:kitty-s-back,3
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:wild-billy-s-circus-story,4
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:incident-on-57th-street,5
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:rosalita-come-out-tonight,6
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:new-york-city-serenade,7
Born To Run,studio,1975,/song:thunder-road,1
Born To Run,studio,1975,/song:tenth-avenue-freeze-out,2
Born To Run,studio,1975,/song:night,3
Born To Run,studio,1975,/song:backstreets,4
Born To Run,studio,1975,/song:born-to-run,5
Born To Run,studio,1975,/song:she-s-the-one,6
Born To Run,studio,1975,/song:meeting-across-the-river,7
Born To Run,studio,1975,/song:jungleland,8
Darkness On The Edge Of Town,studio,1978,/song:badlands,1
Darkness On The Edge Of Town,studio,1978,/song:adam-raised-a-cain,2
Darkness On The Edge Of Town,studio,1978,/song:something-in-the-night,3
Darkness On The Edge Of Town,studio,1978,/song:candy-s-room,4
Darkness On The Edge Of Town,studio,1978,/song:racing-in-the-street,5
Darkness On The Edge Of Town,studio,1978,/song:the-promised-land,6
Darkness On The Edge Of Town,studio,1978,/song:factory,7
Darkness On The Edge Of Town,studio,1978,/song:streets-of-fire,8
Darkness On The Edge Of Town,studio,1978,/song:prove-it-all-night,9
