artwork_id,artwork_url,artwork_name,date
1,19660101.htm,The Castiles 1966-1967,1966-01-01
2,19660518.htm,"Mr Music Inc, Bricktown NJ. may 18 ,1966",1966-05-18
3,19670916.htm,The Bruce Springsteen Story Vol 1 - The Castiles,1967-09-16
4,19670916_2.htm,The Bruce Springsteen Story Vol 2 - The Castiles (Version 2),1967-09-16
5,19690920.htm,A Night Worth Spending in Richmond,1969-09-20
6,19700113.htm,Live At The Matrix,1970-01-13
7,19700113_3.htm,Live at the Matrix vol 1(picture disc)(living legend records)  (Version 3),1970-01-13
8,19700113_4.htm,Live at the Matrix vol 2(living legend records) (Version 4),1970-01-13
9,19700113_5.htm,Live at the Matrix vol 2(picture disc)(living legend records)  (Version 5),1970-01-13
10,19700113_6.htm,Live at the Matrix(Starlite Records) (Version 6),1970-01-13
11,19700113_7.htm,Steel Mill - Live At The Matrix Vol. 1 - Limited Edition Gold LLR (Version 7),1970-01-13
12,19700113_8.htm,Steel Mill - Live At The Matrix Vol. 2 - Limited Edition Gold LLR (Version 8),1970-01-13
13,19700301.htm,Sunlight Soldiers At The West End,1970-03-01
14,19700304.htm,Ressurrection,1970-03-04
15,19700326.htm,Live at the Fire House,1970-03-26
16,19700424.htm,Monmouth College,1970-04-24
17,19700504.htm,Torn And Frayed,1970-05-04
18,19700504_2.htm,Torn And Frayed (Version 2),1970-05-04
19,19700516.htm,Run shaker life,1970-05-16
20,19700523.htm,Richmond University,1970-05-23
21,19700523_2.htm,"Richmond may 23, 1970(bootleg) (Version 2)",1970-05-23
22,19700523_3.htm,VCU GYM(aud) (Version 3),1970-05-23
23,19700613.htm,The early years,1970-06-13
24,19700621.htm,The Temperature's Rising,1970-06-21
25,19700717.htm,"Sunshine Inn july 17, 1970",1970-07-17
26,19700814.htm,7th & Marshal Sts - Parking Deck,1970-08-14
27,19700814_2.htm,The World Is Crying For Freedom (Version 2),1970-08-14
28,19701102.htm,Do it with a feeling,1970-11-02
29,19701102_2.htm,Do it with feeling (Version 2),1970-11-02
30,19701110.htm,The Mosque in Richmond,1970-11-10
31,19701120.htm,Return to Rock and Roll,1970-11-20
32,19701127.htm,Steel Mill - Sunshine In,1970-11-27
33,19710118.htm,Live at d´Scene,1971-01-18
34,19710118_2.htm,Going back to the past (Version 2),1971-01-18
35,19710118_3.htm,Movie of '71 (Version 3),1971-01-18
36,19710118_4.htm,Goin' Back in the Past - WBR CD 9118 (Version 4),1971-01-18
37,19710123.htm,The Upstage,1971-01-23
38,19710123_2.htm,Say goodbye to Steel Mill (Version 2),1971-01-23
39,19710514.htm,Springtime in Asbury Park,1971-05-14
40,19710514_2.htm,Springtime In Asbury Park (Version 2),1971-05-14
41,19710514_3.htm,The Bruce Springsteen Story volume 5 (Version 3),1971-05-14
42,19710710.htm,2nd Annual Nothings Festival!,1971-07-10
43,19710710_2.htm,Do Nothings Festival! (Version 2),1971-07-10
44,19710723.htm,DanceDanceDance,1971-07-23
45,19710723_2.htm,Summertime in New York City (Version 2),1971-07-23
46,19710901.htm,Garfield Park,1971-09-01
47,19710901_2.htm,"Long Branch NJ. september 1, 1971 (Version 2)",1971-09-01
48,19710901_3.htm,The night they drove Old Dixie down (Version 3),1971-09-01
49,19710905.htm,"Student Prince, Asbury Park",1971-09-05
50,19711023.htm,Keller Hall,1971-10-23
51,19711030.htm,The Bruce Springsteen Band,1971-10-30
52,19711113.htm,The Bruce Springsteen Band,1971-11-13
53,19711113_2.htm,Student Prince 13 november 1971 (Version 2),1971-11-13
54,19711113_3.htm,"The Student Prince, Asbury Park NJ november 13, 1971 (Version 3)",1971-11-13
55,19711203.htm,The Bruce Springsteen Band,1971-12-03
56,19711213.htm,the Bruce Springsteen Band,1971-12-13
57,19711217.htm,Down The Road Apiece,1971-12-17
58,19720121_3.htm,The Sundance Blues Band (feat. Bruce Springsteen) - The Captain Carter's  (Versi,1972-01-21
59,19720204.htm,The early Years - 1972,1972-02-04
60,19720212.htm,The Sunshine Inn ´72,1972-02-12
61,19720226.htm,Exit through the Backdoor,1972-02-26
62,19720314.htm,Uber Series # 26 Challenger Eastern Surfboards,1972-03-14
63,19720317.htm,Bruce Springsteen Band - Richmond Arena 17 March 1972,1972-03-17
64,19720317_2.htm,Non über project number 1 (Version 2),1972-03-17
65,19720810.htm,Max's Kansas City (DVD),1972-08-10
66,19720830.htm,Satisfaction,1972-08-30
67,19730109.htm,Bound For Glory (Leftfield),1973-01-09
68,19730110.htm,WBCN Studios 1973,1973-01-10
69,19730110_2.htm,Bound for glory (Version 2),1973-01-10
70,19730110_3.htm,WBCN Studios 1973 (Version 3),1973-01-10
71,19730131.htm,Satisfaction 4,1973-01-31
72,19730131_5.htm,Satisfaction 004 (Version 5),1973-01-31
73,19730131_3.htm,Upstairs at Max's Kansas City(Wolfgangs Vault) (Version 3),1973-01-31
74,19730131_4.htm,Max's Kansas City Night (Version 4),1973-01-31
75,19730131_6.htm,moonbean feathers (Version 6),1973-01-31
76,19730131_7.htm,Does This Bus Stop At Max's? (Godfather) (Version 7),1973-01-31
