band_id,band_url,band_name,num_performances
1,/relation:the-1992-93-world-tour-band,The 1992-93 World Tour Band,118
2,/relation:alabama-shakes,Alabama Shakes,1
3,/relation:the-alliance-singers,The Alliance Singers,11
4,/relation:the-allstars,The Allstars,1
5,/relation:arcade-fire,Arcade Fire,1
6,/relation:artists-united-against-apartheid,Artists United Against Apartheid,0
7,/relation:the-asbury-jukes,The Asbury Jukes,17
8,/relation:atlantic-city-expressway,Atlantic City Expressway,1
9,/relation:the-australian-urban-orchestra,The Australian Urban Orchestra,7
10,/relation:the-avatar-strings,The Avatar Strings,0
11,/relation:the-bacon-brothers,The Bacon Brothers,1
12,/relation:the-badboys,The Badboys,1
13,/relation:the-bank-street-blues-band,The Bank Street Blues Band,2
14,/relation:the-beach-boys,The Beach Boys,1
15,/relation:beaver-brown,Beaver Brown,12
16,/relation:the-beaver-brown-band,The Beaver Brown Band,0
17,/relation:the-big-bad-bobby-williams-band,The Big Bad Bobby Williams Band,4
18,/relation:billy-rancher-the-unreal-gods,Billy Rancher & The Unreal Gods,0
19,/relation:the-blackberry-booze-band,The Blackberry Booze Band,5
20,/relation:the-blasters,The Blasters,1
21,/relation:bleachers,Bleachers,2
22,/relation:bob-seger-the-silver-bullet-band,Bob Seger & The Silver Bullet Band,0
23,/relation:bobby-bandiera-band,The Bobby Bandiera Band,31
24,/relation:boccigalupe-the-badboys,Boccigalupe & The Badboys,4
25,/relation:bon-iver,Bon Iver,0
26,/relation:bon-jovi,Bon Jovi,6
27,/relation:booker-t-the-m-g-s,Booker T & The M.G.'s,1
28,/relation:brian-kirk-the-jirks,Brian Kirk & The Jirks,1
29,/relation:bright-eyes,Bright Eyes,4
30,/relation:bruce-springsteen-the-1992-93-world-tour-band,Bruce Springsteen & The 1992-93 World Tour Band,0
31,/relation:bruce-springsteen-the-e-street-band,Bruce Springsteen & The E Street Band,0
32,/relation:bruce-springsteen-the-other-band,Bruce Springsteen & The Other Band,0
33,/relation:bruce-springsteen-the-seeger-sessions-band,Bruce Springsteen & The Seeger Sessions Band,0
34,/relation:bruce-springsteen-the-sessions-band,Bruce Springsteen & The Sessions Band,0
35,/relation:the-bruce-springsteen-band,The Bruce Springsteen Band,82
36,/relation:the-byrds,The Byrds,1
37,/relation:bystander,Bystander,1
38,/relation:cbs-orchestra,The CBS Orchestra,4
39,/relation:csn,CSN,0
40,/relation:csny,CSNY,0
41,/relation:the-castiles,The Castiles,118
42,/relation:cats-on-a-smooth-surface,Cats On A Smooth Surface,33
43,/relation:the-chambers-brothers,The Chambers Brothers,1
44,/relation:the-cherubs,The Cherubs,1
45,/relation:the-chicks,The Chicks,0
46,/relation:child,Child,47
47,/relation:clarence-clemons-the-red-bank-rockers,Clarence Clemons & The Red Bank Rockers,2
48,/relation:clarence-clemons-temple-of-soul,Clarence Clemons & Temple Of Soul,0
49,/relation:clarence-clemons-the-temple-of-soul,Clarence Clemons & The Temple Of Soul,0
50,/relation:the-coasters,The Coasters,1
51,/relation:coldplay,Coldplay,1
52,/relation:the-composure,The Composure,2
53,/relation:cooper-and-koo-strings,Cooper + Koo Strings,1
54,/relation:crazy-horse,Crazy Horse,2
55,/relation:crosby-stills-nash,"Crosby, Stills & Nash",0
56,/relation:crosby-stills-nash-young,"Crosby, Stills, Nash & Young",1
57,/relation:the-david-johansen-group,The David Johansen Group,1
58,/relation:david-sancious-tone,David Sancious & Tone,0
59,/relation:the-del-fuegos,The Del Fuegos,1
60,/relation:the-delevantes,The Delevantes,1
61,/relation:the-diamonds,The Diamonds,3
62,/relation:the-dictators,The Dictators,0
