event_id,event_date,event_url,location_url,event_venue,event_city,event_state,event_country,show,tour,setlist
1,1965-00-00,/rehearsal:1965-00-00-private-residence-freehold-nj,/venue:caprioni-residence-freehold-nj,Caprioni Residence,Freehold,NJ,USA,,,
2,1965-00-00,/gig:1965-00-00-elks-lodge-freehold-nj,/venue:elks-lodge-freehold-nj,Freehold Elks Lodge,Freehold,NJ,USA,,Early Years,Twist And Shout
3,1965-00-00,/gig:1965-00-00-knights-of-columbus-freehold-nj,/venue:knights-of-columbus-freehold-nj,Knights Of Columbus,Freehold,NJ,USA,,Early Years,
4,1965-00-00,/gig:1965-00-00a-unknown-location-freehold-nj,/venue:unknown-location-freehold-nj,Unknown Location,Freehold,NJ,USA,,Early Years,
5,1965-00-00,/gig:1965-00-00b-unknown-location-freehold-nj,/venue:unknown-location-freehold-nj,Unknown Location,Freehold,NJ,USA,,Early Years,
6,1965-00-00,/gig:1965-00-00-regional-high-school-freehold-nj,/venue:regional-high-school-freehold-nj,Freehold Regional High School,Freehold,NJ,USA,,Early Years,Twist And Shout
7,1965-06-00,/gig:1965-06-00a-private-residence-freehold-nj,/venue:vinyard-residence-freehold-nj,Vinyard Residence,Freehold,NJ,USA,,Non-tour Shows,
8,1965-06-00,/rehearsal:1965-06-00-private-residence-freehold-nj,/venue:vinyard-residence-freehold-nj,Vinyard Residence,Freehold,NJ,USA,,,
9,1965-07-00,/rehearsal:1965-07-00-private-residence-freehold-nj,/venue:vinyard-residence-freehold-nj,Vinyard Residence,Freehold,NJ,USA,,,
10,1965-07-00,/gig:1965-07-00-clearwater-swim-club-atlantic-highlands-nj,/venue:clearwater-swim-club-atlantic-highlands-nj,Clearwater Swim Club,Atlantic Highlands,NJ,USA,,Non-tour Shows,
11,1965-08-00,/gig:1965-08-00-woodhaven-swim-club-freehold-nj,/venue:woodhaven-swim-club-freehold-nj,Woodhaven Swim Club,Freehold,NJ,USA,,Early Years,In The Mood
12,1965-08-00,/gig:1965-08-00-blue-moon-freewood-acres-nj,/venue:blue-moon-freewood-acres-nj,Blue Moon,Freewood Acres,NJ,USA,,Early Years,
13,1965-08-00,/gig:1965-08-00-st-rose-of-lima-school-freehold-nj,/venue:st-rose-of-lima-school-freehold-nj,St. Rose Of Lima School,Freehold,NJ,USA,,Early Years,
14,1965-09-00,/gig:1965-09-00-st-rose-of-lima-school-freehold-nj,/venue:st-rose-of-lima-school-freehold-nj,St. Rose Of Lima School,Freehold,NJ,USA,,Early Years,
15,1965-09-00,/gig:1965-09-00-angle-inn-farmingdale-nj,/venue:angle-inn-farmingdale-nj,Angle Inn,Farmingdale,NJ,USA,,Early Years,"You Turn Me On, Twist And Shout"
16,1965-09-00,/gig:1965-09-00-elks-lodge-freehold-nj,/venue:elks-lodge-freehold-nj,Freehold Elks Lodge,Freehold,NJ,USA,,Early Years,
