relation_id,relation_url,relation_name,appearances,relation_type
1,/relation:the-1992-93-world-tour-band,The 1992-93 World Tour Band,118,band
2,/relation:alabama-shakes,Alabama Shakes,1,band
3,/relation:the-alliance-singers,The Alliance Singers,11,band
4,/relation:the-allstars,The Allstars,1,band
5,/relation:arcade-fire,Arcade Fire,1,band
6,/relation:artists-united-against-apartheid,Artists United Against Apartheid,0,band
7,/relation:the-asbury-jukes,The Asbury Jukes,17,band
8,/relation:atlantic-city-expressway,Atlantic City Expressway,1,band
9,/relation:the-australian-urban-orchestra,The Australian Urban Orchestra,7,band
10,/relation:the-avatar-strings,The Avatar Strings,0,band
11,/relation:the-bacon-brothers,The Bacon Brothers,1,band
12,/relation:the-badboys,The Badboys,1,band
13,/relation:the-bank-street-blues-band,The Bank Street Blues Band,2,band
14,/relation:the-beach-boys,The Beach Boys,1,band
15,/relation:beaver-brown,Beaver Brown,12,band
16,/relation:the-beaver-brown-band,The Beaver Brown Band,0,band
17,/relation:the-big-bad-bobby-williams-band,The Big Bad Bobby Williams Band,4,band
18,/relation:billy-rancher-the-unreal-gods,Billy Rancher & The Unreal Gods,0,band
19,/relation:the-blackberry-booze-band,The Blackberry Booze Band,5,band
20,/relation:the-blasters,The Blasters,1,band
21,/relation:bleachers,Bleachers,2,band
22,/relation:bob-seger-the-silver-bullet-band,Bob Seger & The Silver Bullet Band,0,band
23,/relation:bobby-bandiera-band,The Bobby Bandiera Band,31,band
24,/relation:boccigalupe-the-badboys,Boccigalupe & The Badboys,4,band
25,/relation:bon-iver,Bon Iver,0,band
26,/relation:bon-jovi,Bon Jovi,6,band
27,/relation:booker-t-the-m-g-s,Booker T & The M.G.'s,1,band
28,/relation:brian-kirk-the-jirks,Brian Kirk & The Jirks,1,band
29,/relation:bright-eyes,Bright Eyes,4,band
30,/relation:bruce-springsteen-the-1992-93-world-tour-band,Bruce Springsteen & The 1992-93 World Tour Band,0,band
31,/relation:bruce-springsteen-the-e-street-band,Bruce Springsteen & The E Street Band,0,band
32,/relation:bruce-springsteen-the-other-band,Bruce Springsteen & The Other Band,0,band
33,/relation:bruce-springsteen-the-seeger-sessions-band,Bruce Springsteen & The Seeger Sessions Band,0,band
34,/relation:bruce-springsteen-the-sessions-band,Bruce Springsteen & The Sessions Band,0,band
35,/relation:the-bruce-springsteen-band,The Bruce Springsteen Band,82,band
36,/relation:the-byrds,The Byrds,1,band
37,/relation:bystander,Bystander,1,band
38,/relation:cbs-orchestra,The CBS Orchestra,4,band
39,/relation:csn,CSN,0,band
40,/relation:csny,CSNY,0,band
41,/relation:the-castiles,The Castiles,118,band
