song_id,song_url,song_name,first_played,last_played,num_plays,opener,closer,frequency
1,/song:1945,1945,,,,,,
2,/song:30-days-out,30 Days Out,,,,,,
3,/song:4th-of-july-asbury-park-sandy,"4th Of July, Asbury Park (Sandy)",/gig:1973-04-01-ledge-new-brunswick-nj,/gig:2019-11-16-stone-pony-asbury-park-nj,278,8,8,8.05
4,/song:500-miles,500 Miles,/gig:1965-10-00-reception-hall-monmouth-county-nj,/gig:1965-10-00-reception-hall-monmouth-county-nj,1,0,0,0.03
5,/song:57-channels-and-nothin-on,57 Channels (And Nothin' On),/gig:1990-11-16-shrine-auditorium-los-angeles-ca,/gig:1993-06-26-madison-square-garden-new-york-city-ny,108,0,0,3.13
6,/song:634-5789-soulsville-u-s-a,"634-5789 (Soulsville, U.S.A.)",/gig:1973-02-14-new-gymnasium-richmond-va,/gig:2019-11-16-stone-pony-asbury-park-nj,63,14,4,1.82
7,/song:7-rooms-of-gloom,7 Rooms Of Gloom,,,,,,
8,/song:96-tears,96 Tears,/gig:2002-11-02-tradewinds-sea-bright-nj,/gig:2012-05-28-megaland-landgraaf-netherlands,6,0,0,0.17
9,/song:a-change-is-gonna-come,A Change Is Gonna Come,/gig:2003-04-29-count-basie-theatre-red-bank-nj,/gig:2003-04-29-count-basie-theatre-red-bank-nj,1,0,0,0.03
10,/song:achy-breaky-heart,Achy Breaky Heart,/gig:1993-03-23-count-basie-theatre-red-bank-nj,/gig:1993-03-23-count-basie-theatre-red-bank-nj,1,0,0,0.03
11,/song:across-the-border,Across The Border,/gig:1995-11-22-count-basie-theatre-red-bank-nj,/gig:2021-05-13-stone-hill-farm-colts-neck-nj,146,1,1,4.23
12,/song:across-the-borderline,Across The Borderline,/gig:1988-04-27-memorial-sports-arena-los-angeles-ca,/gig:2012-11-19-pepsi-center-denver-co,11,0,2,0.32
13,/song:action-in-the-streets,Action In The Streets,/gig:1977-02-07-palace-theatre-albany-ny,/gig:2011-07-17-wonder-bar-asbury-park-nj,24,1,0,0.7
14,/song:adam-raised-a-cain,Adam Raised A Cain,/gig:1978-05-23-shea-s-theatre-buffalo-ny,/nobruce:2009-03-13-convention-hall-asbury-park-nj,305,14,0,8.83
15,/song:addicted-to-romance,Addicted To Romance,,,,,,
