song_id,song_url,song_name,first_played,last_played,num_plays
1,/song:1945,1945,,,0
2,/song:30-days-out,30 Days Out,,,0
3,/song:4th-of-july-asbury-park-sandy,"4th Of July, Asbury Park (Sandy)",1973-04-01,2019-11-16,275
4,/song:500-miles,500 Miles,1965-10-00,1965-10-00,1
5,/song:57-channels-and-nothin-on,57 Channels (And Nothin' On),1990-11-16,1993-06-26,108
6,/song:634-5789-soulsville-u-s-a,"634-5789 (Soulsville, U.S.A.)",1973-02-14,2019-11-16,63
7,/song:7-rooms-of-gloom,7 Rooms Of Gloom,,,0
8,/song:96-tears,96 Tears,2002-11-02,2012-05-28,6
9,/song:a-change-is-gonna-come,A Change Is Gonna Come,2003-04-29,2003-04-29,1
10,/song:achy-breaky-heart,Achy Breaky Heart,1993-03-23,1993-03-23,1
11,/song:across-the-border,Across The Border,1988-04-27,2021-05-13,146
12,/song:across-the-borderline,Across The Borderline,1988-04-27,2012-11-19,11
13,/song:action-in-the-streets,Action In The Streets,1977-02-07,2011-07-17,24
14,/song:adam-raised-a-cain,Adam Raised A Cain,1978-05-23,2017-02-09,306
15,/song:addicted-to-romance,Addicted To Romance,,,0
16,/song:a-fine-fine-boy-girl,A Fine Fine Boy (Girl),1976-10-25,2009-10-29,7
17,/song:a-good-life,A Good Life,2006-12-02,2011-11-04,2
18,/song:a-good-man-is-hard-to-find-pittsburgh,A Good Man Is Hard To Find (Pittsburgh),2005-05-10,2010-11-04,2
19,/song:a-hard-day-s-night,A Hard Day's Night,1999-12-20,1999-12-20,1
20,/song:a-hard-rain-s-a-gonna-fall,A Hard Rain's A-Gonna Fall,,,0
21,/song:ain-t-gonna-lose-it-this-time,Ain't Gonna Lose It This Time,,,0
22,/song:ain-t-good-enough-for-you,Ain't Good Enough For You,2010-12-07,2013-06-26,5
23,/song:ain-t-got-you,Ain't Got You,1988-03-26,2005-11-19,51
24,/song:ain-t-it-strange,Ain't It Strange,1976-11-26,1976-11-26,2
25,/song:ain-t-nothin-but-a-house-party,Ain't Nothin' But A House Party,,,0
26,/song:ain-t-that-a-shame,Ain't That A Shame,1979-04-15,1992-02-02,5
27,/song:ain-t-that-lovin-you-baby,Ain't That Lovin' You Baby,1983-08-14,1983-08-19,2
28,/song:ain-t-that-peculiar,Ain't That Peculiar,1971-11-13,1971-11-13,1
29,/song:ain-t-too-proud-to-beg,Ain't Too Proud To Beg,1975-10-04,2013-07-16,8
30,/song:a-life-full-of-rain,A Life Full Of Rain,,,0
31,/song:alison,Alison,2001-12-08,2001-12-08,1
32,/song:all-along-the-watchtower,All Along The Watchtower,1988-01-20,2004-12-02,4
33,/song:allentown,Allentown,2008-10-16,2008-10-16,1
34,/song:all-i-can-do-is-dream-you,(All I Can Do Is) Dream You,1987-09-30,1987-09-30,2
35,/song:all-i-have-to-do-is-dream,All I Have To Do Is Dream,1979-06-03,2008-05-13,3
36,/song:all-i-m-thinkin-about,All I'm Thinkin' About,2005-04-30,2005-11-19,26
37,/song:all-i-need,All I Need,1998-01-31,2000-12-18,0
38,/song:all-i-needed-was-you,All I Needed Was You,1998-01-31,2000-12-18,2
39,/song:all-i-wanna-know,All I Wanna Know,,,0
40,/song:all-i-want-to-do-is-dance,All I Want To Do Is Dance,1972-02-04,1972-02-26,3
41,/song:all-just-to-get-to-you,All Just To Get To You,1995-09-14,2008-04-14,7
42,/song:all-or-nothin-at-all,All Or Nothin' At All,1992-06-17,2014-05-06,8
43,/song:all-shook-up,All Shook Up,2009-10-19,2009-10-19,1
44,/song:all-that-heaven-will-allow,All That Heaven Will Allow,1988-02-25,2006-09-17,82
45,/song:all-the-way-home,All The Way Home,1992-07-30,2006-10-25,28
46,/song:alone,Alone,1968-05-00,2005-10-20,1
47,/song:a-love-so-fine,A Love So Fine,1974-10-04,1975-09-14,32
48,/song:always-a-friend,Always A Friend,2008-04-14,2012-03-14,4
49,/song:a-matter-of-trust,A Matter Of Trust,2008-10-16,2008-10-16,1
50,/song:amazing-grace,Amazing Grace,,,0
51,/song:amen,Amen,1994-03-01,1994-03-01,1
52,/song:america,America,1970-01-13,2021-09-04,1
53,/song:american-babylon,American Babylon,1995-07-22,1998-03-02,8
54,/song:american-beauty,American Beauty,2014-04-19,2014-04-19,0
55,/song:american-land,American Land,2006-06-22,2020-05-29,247
56,/song:american-man,American Man,,,0
57,/song:american-music,American Music,1995-03-24,1995-03-24,1
58,/song:american-skin-41-shots,American Skin (41 Shots),2000-06-04,2021-09-04,107
59,/song:american-slang,American Slang,2011-12-09,2011-12-09,1
60,/song:america-the-beautiful,America The Beautiful,,,0
61,/song:america-under-fire,America Under Fire,1970-01-13,1970-04-18,3
62,/song:amplifier-blues,Amplifier Blues,1970-05-23,1970-05-23,1
63,/song:an-der-schoenen-blauen-donau,An Der Schönen Blauen Donau,,,0
64,/song:angel-baby,Angel Baby,1974-06-02,1974-06-02,1
65,/song:angel-eyes,Angel Eyes (Frank Sinatra),1995-11-19,1995-11-19,1
66,/song:angel-eyes-steven-van-zandt,Angel Eyes (Little Steven & The Disciples Of Soul),,,0
67,/song:angel-in-the-alleyways,Angel In The Alleyways,,,0
68,/song:angel-s-blues,Angel's Blues,1974-03-10,1974-03-10,1
69,/song:angelyne,Angelyne,1989-07-02,1989-07-02,1
70,/song:a-night-like-this,A Night Like This,1974-09-22,1974-09-22,1
71,/song:a-night-with-the-jersey-devil,A Night With The Jersey Devil,2012-10-31,2012-10-31,1
72,/song:another-saturday-night,Another Saturday Night,,,0
73,/song:another-thin-line,Another Thin Line,2000-06-22,2011-11-04,11
74,/song:any-other-way,Any Other Way,,,0
75,/song:apache,Apache,1973-03-13,1973-03-13,1
76,/song:apollo-medley,Apollo Medley,,,0
77,/song:arabian-nights,Arabian Nights,1972-02-14,1972-05-02,2
78,/song:a-rianxeira,A Rianxeira,,,0
79,/song:around-and-around,Around And Around,1978-07-29,2002-12-13,34
80,/song:a-satisfied-mind,A Satisfied Mind,1988-03-23,1988-03-23,0
81,/song:as-long-as-i-can-be-with-you,As Long As I (Can Be With You),2000-12-17,2004-10-13,8
82,/song:a-story,A Story,1972-02-05,1972-02-05,1
83,/song:a-teenager-in-love,A Teenager In Love,1976-09-30,1987-12-13,2
84,/song:atlantic-city,Atlantic City,1984-06-29,2023-04-05,365
85,/song:auatc,AUATC,,,0
86,/song:au-clair-de-la-lune,Au clair de la lune,,,0
87,/song:auld-lang-syne,Auld Lang Syne,1978-12-31,1980-12-31,2
88,/song:a-winter-s-revelation-in-9-illusions,A Winter's Revelation (In 9 Illusions),1968-05-00,1968-05-00,1
89,/song:a-woman-s-got-the-power,A Woman's Got The Power,1984-08-09,2011-10-22,2
90,/song:baby-doll,Baby Doll,1971-11-04,1971-11-04,1
91,/song:baby-i,Baby I,1985-02-23,1985-02-23,0
92,/song:baby-i-love-you,"Baby, I Love You",1976-11-04,1992-11-22,7
93,/song:baby-i-m-a-star,Baby I'm A Star,1985-02-23,1985-02-23,1
94,/song:baby-i-ve-been-missing-you,"Baby, I've Been Missing You",,,0
95,/song:baby-please-don-t-go,"Baby, Please Don't Go",1972-09-09,1972-09-09,1
96,/song:baby-what-you-want-me-to-do,Baby What You Want Me To Do,1995-05-00,1995-05-00,1
97,/song:baby-workout,Baby Workout,,,0
98,/song:back-door-man,Back Door Man,1968-09-00,1968-09-00,1
99,/song:back-in-the-u-s-a,Back In The U.S.A.,1975-02-05,1975-12-27,3
100,/song:back-in-your-arms,Back In Your Arms,1999-08-04,2017-02-14,25
101,/song:backstreets,Backstreets,1975-08-08,2023-08-09,560
102,/song:bad-day,Bad Day,2004-10-02,2004-10-05,3
103,/song:badlands,Badlands,1978-05-23,2023-08-09,1259
104,/song:bad-luck,Bad Luck,2009-04-16,2018-09-30,3
105,/song:bad-moon-rising,Bad Moon Rising,1987-10-31,2013-07-24,7
106,/song:balboa-park,Balboa Park,1995-11-22,1997-05-26,120
107,/song:ballad-of-a-self-loading-pistol,Ballad Of A Self-loading Pistol,,,0
108,/song:ballad-of-easy-rider,Ballad Of Easy Rider,1981-08-20,1981-08-20,1
109,/song:ball-and-chain,Ball And Chain,2008-05-17,2008-05-17,1
