venue_id,venue_url,venue_name,venue_city,venue_state,venue_country,num_performances
1,/venue:1-800-ask-gary-amphitheatre-tampa-fl,1-800-Ask-Gary Amphitheatre,Tampa,FL,USA,0
2,/venue:129-monmouth-street-red-bank-nj,129 Monmouth Street,Red Bank,NJ,USA,9
3,/venue:1st-mariner-arena-baltimore-md,1st Mariner Arena,Baltimore,MD,USA,1
4,/venue:2nd-charles-kennesaw-ga,2nd & Charles,Kennesaw,GA,USA,0
5,/venue:54-below-new-york-city-ny,54 Below,New York City,NY,USA,0
6,/venue:615-night-club-york-pa,615 Night Club,York,PA,USA,1
7,/venue:914-sound-studios-blauvelt-ny,914 Sound Studios,Blauvelt,NY,USA,1
8,/venue:a-m-studios-hollywood-ca,A&M Studios,Hollywood,CA,USA,0
9,/venue:aami-park-melbourne-australia,AAMI Park,Melbourne,,Australia,4
10,/venue:afas-live-amsterdam-netherlands,AFAS Live,Amsterdam,,The Netherlands,0
11,/venue:amc-theatre-freehold-nj,AMC Theatre,Freehold,NJ,USA,0
12,/venue:ami-stadium-christchurch-new-zealand,AMI Stadium,Christchurch,,New Zealand,1
13,/venue:ana-intercontinental-hotel-tokyo-japan,ANA InterContinental Hotel,Tokyo,,Japan,0
14,/venue:anz-stadium-brisbane-australia,ANZ Stadium,Brisbane,,Australia,0
15,/venue:aol-arena-hamburg-germany,AOL Arena,Hamburg,,Germany,1
16,/venue:arco-arena-sacramento-ca,ARCO Arena,Sacramento,CA,USA,3
17,/venue:asu-activity-center-tempe-az,ASU Activity Center,Tempe,AZ,USA,2
18,/venue:at-t-park-san-francisco-ca,AT&T Park,San Francisco,CA,USA,0
19,/venue:awd-arena-hannover-germany,AWD Arena,Hannover,,Germany,1
20,/venue:aaron-s-amphitheatre-at-lakewood-atlanta-ga,Aaron's Amphitheatre At Lakewood,Atlanta,GA,USA,1
21,/venue:abravanel-hall-salt-lake-city-ut,Abravanel Hall,Salt Lake City,UT,USA,1
22,/venue:academy-of-music-new-york-city-ny,Academy Of Music,New York City,NY,USA,0
23,/venue:academy-of-music-philadelphia-pa,Academy Of Music,Philadelphia,PA,USA,0
24,/venue:accorhotels-arena-paris-france,Accorhotels Arena,Paris,,France,2
25,/venue:acer-arena-sydney-australia,Acer Arena,Sydney,,Australia,0
26,/venue:addison-park-aberdeen-nj,Addison Park,Aberdeen,NJ,USA,1
27,/venue:entertainment-centre-adelaide-australia,Adelaide Entertainment Centre,Adelaide,,Australia,3
28,/venue:adirondack-bank-center-utica-ny,Adirondack Bank Center,Utica,NY,USA,0
29,/venue:agora-cleveland-oh,The Agora,Cleveland,OH,USA,3
30,/venue:agora-columbus-oh,The Agora,Columbus,OH,USA,0
31,/venue:agora-toledo-oh,The Agora,Toledo,OH,USA,1
32,/venue:ahmanson-theatre-los-angeles-ca,Ahmanson Theater,Los Angeles,CA,USA,1
33,/venue:air-canada-centre-toronto-on,Air Canada Centre,Toronto,ON,Canada,8
34,/venue:civic-theatre-akron-oh,Akron Civic Theatre,Akron,OH,USA,1
35,/venue:albright-college-reading-pa,Albright College,Reading,PA,USA,0
36,/venue:convention-center-albuquerque-nm,Albuquerque Convention Center,Albuquerque,NM,USA,0
37,/venue:electric-ballroom-atlanta-ga,Alex Cooley's Electric Ballroom,Atlanta,GA,USA,3
38,/venue:alexander-hall-princeton-nj,Alexander Hall,Princeton,NJ,USA,2
39,/venue:alice-tully-hall-new-york-city-ny,Alice Tully Hall,New York City,NY,USA,2
40,/venue:allegheny-college-meadville-pa,Allegheny College,Meadville,PA,USA,0
41,/venue:allen-theatre-cleveland-oh,Allen Theatre,Cleveland,OH,USA,4
42,/venue:alliant-energy-center-madison-wi,Alliant Energy Center,Madison,WI,USA,0
43,/venue:allphones-arena-sydney-australia,Allphones Arena,Sydney,,Australia,4
44,/venue:allstate-arena-rosemont-il,Allstate Arena,Rosemont,IL,USA,0
45,/venue:allston-s-mr-music-boston-ma,Allston's Mr. Music,Boston,MA,USA,1
46,/venue:alltel-arena-little-rock-ar,Alltel Arena,Little Rock,AR,USA,1
47,/venue:alpha-sound-studios-richmond-va,Alpha Sound Studios,Richmond,VA,USA,1
48,/venue:alpine-valley-music-theatre-east-troy-wi,Alpine Valley Music Theatre,East Troy,WI,USA,2
