album_name,album_type,album_year,song_url,song_name,song_num
"Greetings From Asbury Park, N.J.",studio,1973,/song:blinded-by-the-light,Blinded By The Light,1
"Greetings From Asbury Park, N.J.",studio,1973,/song:growin-up,Growin' Up,2
"Greetings From Asbury Park, N.J.",studio,1973,/song:mary-queen-of-arkansas,Mary Queen Of Arkansas,3
"Greetings From Asbury Park, N.J.",studio,1973,/song:does-this-bus-stop-at-82nd-street,Does This Bus Stop At 82nd Street?,4
"Greetings From Asbury Park, N.J.",studio,1973,/song:lost-in-the-flood,Lost In The Flood,5
"Greetings From Asbury Park, N.J.",studio,1973,/song:the-angel,The Angel,6
"Greetings From Asbury Park, N.J.",studio,1973,/song:for-you,For You,7
"Greetings From Asbury Park, N.J.",studio,1973,/song:spirit-in-the-night,Spirit In The Night,8
"Greetings From Asbury Park, N.J.",studio,1973,/song:it-s-hard-to-be-a-saint-in-the-city,It's Hard To Be A Saint In The City,9
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:the-e-street-shuffle,The E Street Shuffle,1
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:4th-of-july-asbury-park-sandy,"4th Of July, Asbury Park (Sandy)",2
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:kitty-s-back,Kitty's Back,3
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:wild-billy-s-circus-story,Wild Billy's Circus Story,4
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:incident-on-57th-street,Incident On 57th Street,5
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:rosalita-come-out-tonight,Rosalita (Come Out Tonight),6
"The Wild, The Innocent & The E Street Shuffle",studio,1973,/song:new-york-city-serenade,New York City Serenade,7
Born To Run,studio,1975,/song:thunder-road,Thunder Road,1
Born To Run,studio,1975,/song:tenth-avenue-freeze-out,Tenth Avenue Freeze-Out,2
Born To Run,studio,1975,/song:night,Night,3
Born To Run,studio,1975,/song:backstreets,Backstreets,4
Born To Run,studio,1975,/song:born-to-run,Born To Run,5
Born To Run,studio,1975,/song:she-s-the-one,She's The One,6
Born To Run,studio,1975,/song:meeting-across-the-river,Meeting Across The River,7
Born To Run,studio,1975,/song:jungleland,Jungleland,8
Darkness On The Edge Of Town,studio,1978,/song:badlands,Badlands,1
Darkness On The Edge Of Town,studio,1978,/song:adam-raised-a-cain,Adam Raised A Cain,2
Darkness On The Edge Of Town,studio,1978,/song:something-in-the-night,Something In The Night,3
Darkness On The Edge Of Town,studio,1978,/song:candy-s-room,Candy's Room,4
Darkness On The Edge Of Town,studio,1978,/song:racing-in-the-street,Racing In The Street,5
Darkness On The Edge Of Town,studio,1978,/song:the-promised-land,The Promised Land,6
Darkness On The Edge Of Town,studio,1978,/song:factory,Factory,7
Darkness On The Edge Of Town,studio,1978,/song:streets-of-fire,Streets Of Fire,8
Darkness On The Edge Of Town,studio,1978,/song:prove-it-all-night,Prove It All Night,9
Darkness On The Edge Of Town,studio,1978,/song:darkness-on-the-edge-of-town,Darkness On The Edge Of Town,10
The River,studio,1980,/song:the-ties-that-bind,The Ties That Bind,1
The River,studio,1980,/song:sherry-darling,Sherry Darling,2
The River,studio,1980,/song:jackson-cage,Jackson Cage,3
The River,studio,1980,/song:two-hearts,Two Hearts,4
The River,studio,1980,/song:independence-day,Independence Day,5
The River,studio,1980,/song:hungry-heart,Hungry Heart,6
The River,studio,1980,/song:out-in-the-street,Out In The Street,7
The River,studio,1980,/song:crush-on-you,Crush On You,8
The River,studio,1980,/song:you-can-look-but-you-better-not-touch,You Can Look (But You Better Not Touch),9
The River,studio,1980,/song:i-wanna-marry-you,I Wanna Marry You,10
The River,studio,1980,/song:the-river,The River,11
The River,studio,1980,/song:point-blank,Point Blank,12
The River,studio,1980,/song:cadillac-ranch,Cadillac Ranch,13
The River,studio,1980,/song:i-m-a-rocker,I'm A Rocker,14
The River,studio,1980,/song:fade-away,Fade Away,15
The River,studio,1980,/song:stolen-car,Stolen Car,16
The River,studio,1980,/song:ramrod,Ramrod,17
The River,studio,1980,/song:the-price-you-pay,The Price You Pay,18
The River,studio,1980,/song:drive-all-night,Drive All Night,19
The River,studio,1980,/song:wreck-on-the-highway,Wreck On The Highway,20
Nebraska,studio,1982,/song:nebraska,Nebraska,1
Nebraska,studio,1982,/song:atlantic-city,Atlantic City,2
Nebraska,studio,1982,/song:mansion-on-the-hill,Mansion On The Hill,3
Nebraska,studio,1982,/song:johnny-99,Johnny 99,4
Nebraska,studio,1982,/song:highway-patrolman,Highway Patrolman,5
Nebraska,studio,1982,/song:state-trooper,State Trooper,6
Nebraska,studio,1982,/song:used-cars,Used Cars,7
Nebraska,studio,1982,/song:open-all-night,Open All Night,8
Nebraska,studio,1982,/song:my-father-s-house,My Father's House,9
Nebraska,studio,1982,/song:reason-to-believe,Reason To Believe,10
Born In The U.S.A.,studio,1984,/song:born-in-the-u-s-a,Born In The U.S.A.,1
Born In The U.S.A.,studio,1984,/song:cover-me,Cover Me,2
Born In The U.S.A.,studio,1984,/song:darlington-county,Darlington County,3
Born In The U.S.A.,studio,1984,/song:working-on-the-highway,Working On The Highway,4
Born In The U.S.A.,studio,1984,/song:downbound-train,Downbound Train,5
Born In The U.S.A.,studio,1984,/song:i-m-on-fire,I'm On Fire,6
Born In The U.S.A.,studio,1984,/song:no-surrender,No Surrender,7
Born In The U.S.A.,studio,1984,/song:bobby-jean,Bobby Jean,8
Born In The U.S.A.,studio,1984,/song:i-m-goin-down,I'm Goin' Down,9
Born In The U.S.A.,studio,1984,/song:glory-days,Glory Days,10
Born In The U.S.A.,studio,1984,/song:dancing-in-the-dark,Dancing In The Dark,11
Born In The U.S.A.,studio,1984,/song:my-hometown,My Hometown,12
Live 1975–85,compilation,1986,/song:thunder-road,Thunder Road,1
Live 1975–85,compilation,1986,/song:adam-raised-a-cain,Adam Raised A Cain,2
Live 1975–85,compilation,1986,/song:spirit-in-the-night,Spirit In The Night,3
Live 1975–85,compilation,1986,/song:4th-of-july-asbury-park-sandy,"4th Of July, Asbury Park (Sandy)",4
Live 1975–85,compilation,1986,/song:paradise-by-the-c,"Paradise By The ""C""",5
Live 1975–85,compilation,1986,/song:fire,Fire,6
Live 1975–85,compilation,1986,/song:growin-up,Growin' Up,7
Live 1975–85,compilation,1986,/song:it-s-hard-to-be-a-saint-in-the-city,It's Hard To Be A Saint In The City,8
Live 1975–85,compilation,1986,/song:backstreets,Backstreets,9
Live 1975–85,compilation,1986,/song:rosalita-come-out-tonight,Rosalita (Come Out Tonight),10
Live 1975–85,compilation,1986,/song:raise-your-hand,Raise Your Hand,11
Live 1975–85,compilation,1986,/song:hungry-heart,Hungry Heart,12
Live 1975–85,compilation,1986,/song:two-hearts,Two Hearts,13
Live 1975–85,compilation,1986,/song:cadillac-ranch,Cadillac Ranch,14
Live 1975–85,compilation,1986,/song:you-can-look-but-you-better-not-touch,You Can Look (But You Better Not Touch),15
Live 1975–85,compilation,1986,/song:independence-day,Independence Day,16
Live 1975–85,compilation,1986,/song:badlands,Badlands,17
Live 1975–85,compilation,1986,/song:because-the-night,Because The Night,18
Live 1975–85,compilation,1986,/song:candy-s-room,Candy's Room,19
Live 1975–85,compilation,1986,/song:darkness-on-the-edge-of-town,Darkness On The Edge Of Town,20
Live 1975–85,compilation,1986,/song:racing-in-the-street,Racing In The Street,21
Live 1975–85,compilation,1986,/song:this-land-is-your-land,This Land Is Your Land,22
Live 1975–85,compilation,1986,/song:nebraska,Nebraska,23
Live 1975–85,compilation,1986,/song:johnny-99,Johnny 99,24
Live 1975–85,compilation,1986,/song:reason-to-believe,Reason To Believe,25
Live 1975–85,compilation,1986,/song:born-in-the-u-s-a,Born In The U.S.A.,26
Live 1975–85,compilation,1986,/song:seeds,Seeds,27
Live 1975–85,compilation,1986,/song:the-river,The River,28
Live 1975–85,compilation,1986,/song:war,War,29
Live 1975–85,compilation,1986,/song:darlington-county,Darlington County,30
Live 1975–85,compilation,1986,/song:working-on-the-highway,Working On The Highway,31
Live 1975–85,compilation,1986,/song:the-promised-land,The Promised Land,32
